id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
STA3026;AAWS Klungkung;Bali;Kab Klungkung;Dawan;Dawan Kelod;-8.54;115.44;29;operasional;81236108714;9/13/2016;Jalan Sawo kabeh.;FTP;Dinas Pertanian Kab. Klungkung;BMKG-Casella
STA3055;AAWS Karangasem;Bali;Kab Karang Asem;Rendang;Singarata;-8.42;115.42;590;operasional;85792135188;9/10/2016;;FTP;UPTD BP3 Kab. Karangasem;Theis
STA3056;AAWS Tabanan;Bali;Kab Tabanan;Penebel;Buruan;-8.46;115.14;295;operasional;82236523371;9/10/2016;;FTP;BPP Penebel;Theis
STA3000;AAWS Lebak;Banten;Kab Lebak;Cipanas;Cipanas;-6.55;106.39;160;operasional;85882229202;9/13/2016;JL Raya Rangkasbitung - Bogor;FTP;BP3K Cipanas;BMKG-Casella
STA3001;AAWS Serang;Banten;Kota Serang;Curug;Curug;-6.17;106.19;41;operasional;87774062331;9/13/2016;JL syech Moh.Nawawi Al Bantani.;FTP;Dinas Pertanian Provinsi Banten;BMKG-Casella
STA3002;AAWS Teluk Lada;Banten;Kab Pandeglang;Sobang;Teluk Lada;-6.52;105.83;4;operasional;85212294701;9/13/2016;JL Teluk Lada Raya.;FTP;Dinas Pertanian Kab Pandeglang;BMKG-Casella
AAWS0321;AAWS Lebong;Bengkulu;Kab Lebong;Lebong Utara;Tunggang;-3.10;102.19;382;operasional;81539466120;9/13/2016;Tunggang Lebong;FTP;BPP Tunggang;Microsep-MIS
AAWS0322;AAWS Bengkulu Utara;Bengkulu;Kab Bengkulu Utara;Arga Makmur;Gunung Alam;-3.44;102.20;172;operasional;82186521759;10/17/2019;Arga Makmur;FTP;BMKG;
AAWS0351;AAWS Gunung Kidul;DI Yogyakarta;Kab Gunung Kidul;Karangmojo;Karangmojo;-7.96;110.69;251;operasional;87886218699;9/13/2016;Karangduwet 1, Karangmojo, Gunungkidul;FTP;BMKG;Microsep-MIS
STA3023;AAWS Bantul;DI Yogyakarta;Kab Bantul;Jetis;Barongan;-7.91;110.36;45;operasional;8122941048;1/9/2013;Komplek Balai Benih Barongan,, Jetis, Bantul, yogyakarta;FTP;Balai Benih Barongan;BMKG-Casella
AAWS0325;AAWS Boalemo Wonosari;Gorontalo;Kab Boalemo;Wonosari ;Bongo Dua ;0.70;122.45;50;operasional;85298280282;9/13/2016;Wonosari;FTP;BPP Wonosari;Microsep-MIS
AAWS0342;AAWS Anggrek;Gorontalo;Kab Gorontalo Utara;Anggrek;Tolongio;0.80;122.83;20;operasional;82292796235;9/13/2013;Kec Anggrek;FTP;BPP Anggrek;Microsep-MIS
STA3034;AAWS Pohuwato;Gorontalo;Kab Pahuwato;Duhiadaa, Marisa 1;Marisa;0.50;121.91;11;operasional;85298593473;9/13/2011;;FTP;BP3K Duhiadaa;BMKG-MSP
AAWS0318;AAWS Muara Limun;Jambi;Kab Sarolangun;Limun;Desa Temenggun ;-2.43;102.62;63;operasional;81366788518;9/13/2016;Desa Temenggun Dusun Mengkadai;FTP;BMKG;Microsep-MIS
AAWS0319;AAWS Bangko;Jambi;Kab Merangin;Batang Masumai;Titian Teras ;-2.07;102.24;83;operasional;82181382259;9/13/2016;Merangin;FTP;BMKG;Microsep-MIS
AAWS0344;AAWS Tanjung Jabung Timur;Jambi;Kab Tanjung Jabung Timur;Berbak;Simpang;-1.29;104.08;6;operasional;85266469499;9/13/2016;Kec.Berbak;FTP;BMKG;Microsep-MIS
AAWS0348;AAWS Lemah Abang;Jawa Barat;Kab Cirebon;Lemahabang;Cipoji Wetan;-6.82;108.62;12;operasional;85351662220;9/13/2016;Lemah Abang;FTP;BPP Lemahabang;Microsep-MIS
AAWS0354;AAWS Jatinangor ITB;Jawa Barat;Kab Sumedang;Jatinangor;Sayang;-6.93;107.77;744;operasional;81322246049;9/13/2016;Jl. Let. Jend. Purn. Dr. (HC) Mashudi No. 1;FTP;Kampus ITB Jatinangor;Microsep-MIS
AAWS3010;AAWS Dramaga;Jawa Barat;Kab Bogor;Bogor Barat;Situgede;-6.55;106.74;175;operasional;83154801819;9/13/2016;Jl. Alternatif IPB - Situ Gede;FTP;Stasiun Klimatologi Jawa Barat;Microsep-MIS
STA3004;AAWS Sumedang;Jawa Barat;Kab Sumedang;Ranca Kalong;Nagarawangi;-6.82;107.84;828;operasional;85320344625;9/13/2016;Jl. Raya Rancakalong - Sumedang;FTP;UPTD Balai Benih Hortikultura dan Perkebunan Rancakalong;BMKG-Casella
STA3005;AAWS Ujung Genteng ;Jawa Barat;Kab Sukabumi;Ciracap;Pangumbahan;-7.32;106.41;27;operasional;85794861131;9/13/2016;Kampung Citiis;FTP;PT. ASABALAND - Perkebunan Kelapa;BMKG-MSP
STA3006;AAWS Banjarsari Ciamis;Jawa Barat;Kab Ciamis;Banjarsari;Cibadak;-7.50;108.62;33;operasional;82240561461;9/13/2016;Dusun Cibadak,Desa cibeureum.;FTP;BP3K Banjarsari;BMKG-Casella
STA3007;AAWS Bojongmangu;Jawa Barat;Kab Bekasi;Bojongmangu;Bojongmangu;-6.43;107.19;34;operasional;85862073621;9/13/2016;JL Raya Bojongmangu;FTP;BP3K  Bojongmangu;BMKG-Casella
STA3008;AAWS Pelabuhan Ratu;Jawa Barat;Kab Sukabumi;Pelabuhan Ratu;Jayanti;-7.01;106.56;52;operasional;81221334584;9/13/2016;Jl.Raya Pelabuhan Ratu Km. 3;FTP;Stasiun Geofisika Kelas 1 Bandung (Pos Magnet Pelabuhan Ratu);BMKG-MSP
STA3009;AAWS Indramayu;Jawa Barat;Kab Indramayu;Gantar;Baleraja;-6.49;107.92;30;operasional;81320355922;9/13/2016;JL Haur geulis gantar waru KM 5;FTP;BPP Gantar;BMKG-MSP
AAWS0349;AAWS Kroya;Jawa Tengah;Kab Cilacap;Kroya;Bujur lor;-7.60;109.25;9;operasional;81327094947;9/13/2016;UPT DISPERTANAK  Wil. Kroya jln.Pertanian No. 199 Mujur Lor Kroya;FTP;Dinas Pertanian Kroya;Microsep-MIS
AAWS0350;AAWS Sruweng;Jawa Tengah;Kab Kebumen;Sruweng;Kantor Kepala Desa Sruweng;-7.66;109.60;15;operasional;85729881326;9/13/2016;Kantor Pertanian Sruweng;FTP;BPP Sruweng;Microsep-MIS
AAWS0357;AAWS Pati;Jawa Tengah;Kab Pati;;;-6.73;111.02;25;operasional;8156655327;9/13/2016;Rendole-pati;FTP;BPTP;Microsep-MIS
AAWS0358;AAWS Sukoharjo;Jawa Tengah;Kab Sukoharjo;Gatak;Sraten;-7.58;110.72;134;operasional;85729881326;9/13/2016;Tegal Gondo;FTP;Kantor Kebun Benih Padi Tegal Gondo;Microsep-MIS
STA3019;AAWS Purwodadi;Jawa Tengah;Kab Grobogan;Purwodadi;Kalongan;-7.11;110.92;207;operasional;82172026075;9/13/2016;JL Diponegoro 20.;FTP;Dinas Pertanian TPH;BMKG-Casella
STA3020;AAWS Jepara;Jawa Tengah;Kab Jepara;Jepara;Bulu;-6.59;110.65;8;operasional;89525664254;9/13/2016;Jl. Ade Irma Suryani (Pantai Kartini) Jepara;FTP;LPWP UNDIP;BMKG-Casella
STA3021;AAWS Rembang;Jawa Tengah;Kab Rembang;Rembang;Bulu;-6.86;111.40;24;operasional;81215087267;9/13/2016;Jl. Raya Rembang - Blora Km 19;FTP;KBH Bulu Rembang;BMKG-Casella
STA3022;AAWS Banyumas;Jawa Tengah;Kab Banyumas;Banyumas;Danaraja;-7.53;109.31;45;operasional;81225402567;9/13/2016;Jl. Raya Desa Danaraja Banyumas Kode Pos 53192;FTP;Bapeluh dan KP Kab.Banyumas;BMKG-Casella
STA3024;AAWS Klaten;Jawa Tengah;Kab Klaten;Klaten Tengah;Semangkak;-7.70;110.61;170;operasional;85743872768;9/13/2016;JL Andalas No 19.;FTP;AAWS Klaten;BMKG-Casella
AAWS0336;AAWS Yosowilangun;Jawa Timur;Kab Lumajang;Yosowilangun;Kalipepe;-8.22;113.30;8;operasional;83853732225;9/30/2013;Yosowilangun;FTP;Kantor UPT BPP Yosowilangun;Microsep-MIS
AAWS0359;AAWS Tuban;Jawa Timur;Kab Tuban;Merakurak;;-6.88;112.01;9;operasional;85231281223;12/14/2012;Tuban;FTP;Kantor BP2KP Tuban;Microsep-MIS
STA3051;AAWS Bojonegoro;Jawa Timur;Kab Bojonegoro;Sumber Rejo;Talun;-7.17;112.01;35;operasional;81293513416;12/21/2012;;FTP;Kebun Percobaan Sumber Rejo;Theis
STA3052;AAWS IGG Glenmore;Jawa Timur;Kab Banyuwangi;Glenmore;Karangharjo;-8.35;114.05;213;operasional;85236894211;12/21/2012;Jl. Teuku Umar Karang harjo, Glenmore Banyuwangi;FTP;PG Glenmore;Theis
STA3053;AAWS Tulungagung;Jawa Timur;Kab Tulungagung;Kauman;Bolorejo;-8.06;111.86;105;operasional;82142686864;12/21/2012;;FTP;UPT Pengembangan Benih Padi, Kebun Benih Bolorejo;Theis
STA3054;AAWS Jember;Jawa Timur;Kab Jember;Semboro;Semboro;-8.21;113.44;30;operasional;81234310990;12/21/2012;;FTP;PT. Perkebunan Nusantara PG Semboro;Theis
STA3057;AAWS Banyuwangi;Jawa Timur;Kab Banyuwangi;Gambiran;Krajan;-8.38;114.14;156;operasional;85236431368;12/21/2012;;FTP;IP2TP Genteng;Theis
AAWS0323;AAWS Kendawangan Ketapang;Kalimantan Barat;Kab Ketapang;Kendawangan;Kendawangan Kiri;-2.52;110.22;8;operasional;8528969107;9/13/2016;-;FTP;Dinas Pertanian Ketapang;Microsep-MIS
AAWS0345;AAWS Landak;Kalimantan Barat;Kab Landak;Ngabang;Jl. Raya Ngabang;0.39;109.95;23;operasional;85247237550;9/13/2016;Landak;FTP;Dinas Pertanian Landak;Microsep-MIS
AAWS0346;AAWS Bengkayang;Kalimantan Barat;Kab Bengkayang;Bengkayang;Sebalo;0.87;109.50;71;operasional;85345053544;9/13/2016;Bengkayang;FTP;Dinas Pertanian Bengkayang;Microsep-MIS
STA3044;AAWS Sambas;Kalimantan Barat;Kab Sambas;Tebas;Sempadung;1.25;109.17;4;operasional;81345792124;9/10/2016;;FTP;Citrus Center, DPTP dan Hortikultura;Theis
AAWS0338;AAWS Karang Bintang;Kalimantan Selatan;Kab Tanah Bumbu;Karang Bintang;Manunggal;-3.34;115.93;17;operasional;81351065472;1/1/2013;Jl. TRANSMIGRASI KM. 13.5;FTP;BP3K  Karang Bintang;Microsep-MIS
STA3035;AAWS Barito Kuala;Kalimantan Selatan;Kab Barito Kuala;Marahaban;Ulu Benteng;-2.98;114.74;5;operasional;8524772456;1/1/2012;Jl. Jend. Sudirman No. 54 Marabahan 70153;FTP;DPTPH Barito Kuala;BMKG-MSP
STA3036;AAWS Pelaihari;Kalimantan Selatan;Kab Tanah Laut;Pelaihari;Angsau;-3.80;114.78;18;operasional;81348047903;1/1/2012;Jl. Datu Insyad, Angsau, Pelaihari 70815,;FTP;Dinas Pertanian dan Perkebunan;BMKG-Casella
STA3037;AAWS Hulu Sungai Selatan;Kalimantan Selatan;Kab Hulu Sungai Selatan;Sungai Raya;Hariti;-2.86;115.24;16;operasional;81349300252;1/1/2013;JL JEND SUDIRMAN KM. 8,5;FTP;UPTD BPTPH Hulu Sungai Selatan;BMKG-MSP
